id	entry	ipa	pos	definition	example_sent	scientific_name	wiki_link	pic_link	comment	created_at
403	woita		S	capivara		Hydrochoerus hydrochaeris	https://pt.wikipedia.org/wiki/Capivara	https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Hydrochoeris_hydrochaeris_in_Brazil_in_Petrópolis%2C_Rio_de_Janeiro%2C_Brazil_09.jpg/960px-Hydrochoeris_hydrochaeris_in_Brazil_in_Petrópolis%2C_Rio_de_Janeiro%2C_Brazil_09.jpg		
404	wotohõ		S	macaco zogue-zogue		Callicebus personatus	https://pt.wikipedia.org/wiki/Guigó	https://upload.wikimedia.org/wikipedia/commons/c/c5/Callicebus_personatus.jpg		
405	xaka		S	atirar						
406	xamaxamaikioli		S	alicate			https://pt.wikipedia.org/wiki/Alicate	https://upload.wikimedia.org/wikipedia/commons/b/b5/Partes_de_um_alicate.GIF		
407	xawekwa		S	bolo de mandioca						
408	xaweyali			caititu		Pecari tajacu	https://pt.wikipedia.org/wiki/Caititu	https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Tayassu_tajacu.jpg/960px-Tayassu_tajacu.jpg		
409	xeixa			rugoso, enrugado						
410	xeixei		V	cortar, raspar						
411	xekadowati		S	ânus	waraitalo xekedowa kawena heye = uma enfermeira está com o ânus doendo					
412	xeraka		V	vomitar	noxirana hane kera kaxata nohiye = hoje eu estava vomitando e fiquei muito triste					
413	xewereti		S	cabeça	ocabeça dele esta doendo = exiwere kawe ehiye					
414	xewireti		S	cabeça	noxiwere kaweina noheye = a minha cabeça está doendo					
415	xexixi		S	beiju						
416	xihiya		S	jacamim		Família: Psophiidae	https://pt.wikipedia.org/wiki/Psophiidae	https://upload.wikimedia.org/wikipedia/commons/b/b4/Psophia_crepitansPCCA20051227-1968B.jpg		
417	xikexike ekase		S	escova de dentes						
418	xikiahã		V	fiar						
419	xinakahã		V	conversar						
420	xiñoa		S	fumaça						
421	xirese		S	cabaça						
422	xĩwa		S	poeira						
423	xiwihi		S	nuvem			https://pt.wikipedia.org/wiki/Nuvem	https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Clouds_Pirenópolis_039.jpg/640px-Clouds_Pirenópolis_039.jpg		
424	xixa		S	cuia						
425	xixawekase		S	colher				https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Soup_Spoon.jpg/500px-Soup_Spoon.jpg		
426	xokokowaoko walowaoko		S	bugio		Gênero: Alouatta	https://pt.wikipedia.org/wiki/Bugio	https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Mantled_howler_monkey_and_baby_%2881337%292.jpg/500px-Mantled_howler_monkey_and_baby_%2881337%292.jpg		
427	xoneina		S	espirro						
428	xoxola		S	tesoura				https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Nozyczki4.jpg/500px-Nozyczki4.jpg		
429	yahaana		V	pedir						
430	yahõ		S	jaú		Zungaro zungaro	https://pt.wikipedia.org/wiki/Jaú_(peixe)	https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Zungaro_zungaro.jpg/960px-Zungaro_zungaro.jpg		
431	yahõlokwa		S	local de roça de milho						
432	yaiwa erokowakata		S	tempo encoberto						
433	yakairiti		S	espíritos que habitam acidentes geográficos						
434	yakene		V	flechar, atirar, matar						
435	yakera		V	fazer lembrar						
436	yakiali		S	jacaré						
437	yakõ		S	sombra						
438	yakweina		V	suspirar						
439	yalawi		S	araruta		Maranta arundinacea	https://pt.wikipedia.org/wiki/Araruta	https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Forraçao2.jpg/600px-Forraçao2.jpg		
440	yalawi			cego, cegar						
441	yane		S	bunda						
442	yaõkwa		S	nome de um ritual						
443	yatakolo		S	barba						
444	yatakwa			rápido, veloz, apressar						
445	yatakwari		V	correr						
446	yatawa kawe		V	ficar doente, contrair doença						
447	yayali		S	irmão mais velho						
448	yayare			envergonhado						
449	yerati		S	fome						
450	yerena			ter fome						
451	yodairiro		S	cará roxo		Discorea trifida	https://en.wikipedia.org/wiki/Dioscorea_trifida	https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Dioscorea_trifida_crop.jpg/500px-Dioscorea_trifida_crop.jpg		
452	yodakaware		S	criança						
453	yodawikeirohi		V	colorir, pintar						
454	yokwaixakwalaiti		S	dedo indicador						
455	yokwarikwa		S	Antiga aldeia mitológica						
456	yõla		V	censurar						
457	yolikisako		S	colar de sementes vermelhas						
458	yonase		S	barriga						
459	yota		S	vermelho	ahete dotali = urucum vermelho					
460	yowa		V	obter, adquirir						
461	yowari		S	irmão mais novo						
